epoch_utc,mp_ra,mp_dec
1741547460,5.43667977631216,-0.384417174286405
1741547520,5.43683967944094,-0.384366551809583
1741547580,5.43699957402322,-0.384315920940642
1741547640,5.43715946005949,-0.38426528168149
1741547700,5.43731933755018,-0.384214634034039
1741547760,5.43747920649575,-0.384163978000202
1741547820,5.43763906689663,-0.38411331358189
1741547880,5.43779891875331,-0.384062640781014
1741547940,5.43795876206622,-0.384011959599486
1741548000,5.43811859683581,-0.383961270039216
1741548060,5.43827842306255,-0.383910572102117
1741548120,5.43843824074689,-0.383859865790097
1741548180,5.4385980498893,-0.38380915110507
1741548240,5.43875785049022,-0.383758428048945
1741548300,5.43891764255012,-0.383707696623632
1741548360,5.43907742606944,-0.383656956831043
1741548420,5.43923720104866,-0.38360620867309
1741548480,5.43939696748824,-0.383555452151677
1741548540,5.43955672538861,-0.383504687268722
1741548600,5.43971647475027,-0.383453914026132
1741548660,5.43987621557366,-0.383403132425815
1741548720,5.44003594785924,-0.383352342469683
1741548780,5.4401956716075,-0.383301544159645
1741548840,5.44035538681886,-0.383250737497611
1741548900,5.44051509349381,-0.383199922485489
1741548960,5.44067479163283,-0.383149099125192
1741549020,5.44083448123636,-0.383098267418625
1741549080,5.44099416230487,-0.383047427367699
1741549140,5.44115383483883,-0.382996578974324
1741549200,5.44131349883872,-0.38294572224041
1741549260,5.44147315430499,-0.382894857167863
1741549320,5.44163280123812,-0.382843983758593
1741549380,5.44179243963857,-0.382793102014508
1741549440,5.44195206950681,-0.382742211937519
1741549500,5.44211169084333,-0.38269131352953
1741549560,5.44227130364858,-0.382640406792453
1741549620,5.44243090792302,-0.382589491728195
1741549680,5.44259050366716,-0.382538568338665
1741549740,5.44275009088145,-0.382487636625767
1741549800,5.44290966956636,-0.382436696591415
1741549860,5.44306923972238,-0.382385748237512
1741549920,5.44322880134998,-0.38233479156597
1741549980,5.44338835444963,-0.38228382657869
1741550040,5.44354789902181,-0.382232853277586
1741550100,5.44370743506699,-0.382181871664561
1741550160,5.44386696258566,-0.382130881741524
1741550220,5.44402648157827,-0.382079883510381
1741550280,5.44418599204534,-0.382028876973043
1741550340,5.44434549398732,-0.38197786213141
1741550400,5.4445049874047,-0.381926838987394
1741550460,5.44466447229798,-0.381875807542897
1741550520,5.4448239486676,-0.381824767799831
1741550580,5.44498341651407,-0.381773719760101
1741550640,5.44514287583786,-0.38172266342561
1741550700,5.44530232663945,-0.381671598798267
1741550760,5.44546176891934,-0.381620525879975
1741550820,5.44562120267802,-0.381569444672644
1741550880,5.44578062791595,-0.381518355178178
1741550940,5.44594004463363,-0.381467257398481
1741551000,5.44609945283154,-0.381416151335461
1741551060,5.44625885251016,-0.381365036991022
1741551120,5.44641824366999,-0.381313914367072
1741551180,5.44657762631154,-0.381262783465513
1741551240,5.44673700043524,-0.381211644288251
1741551300,5.44689636604164,-0.381160496837191
1741551360,5.44705572313119,-0.381109341114239
1741551420,5.4472150717044,-0.381058177121299
1741551480,5.44737441176175,-0.381007004860275
1741551540,5.44753374330374,-0.380955824333072
1741551600,5.44769306633086,-0.380904635541595
1741551660,5.44785238084361,-0.380853438487749
1741551720,5.44801168684246,-0.380802233173435
1741551780,5.44817098432793,-0.38075101960056
1741551840,5.4483302733005,-0.380699797771027
1741551900,5.44848955376068,-0.380648567686739
1741551960,5.44864882570895,-0.380597329349602
1741552020,5.44880808914582,-0.380546082761518
1741552080,5.44896734407177,-0.380494827924391
1741552140,5.44912659048731,-0.380443564840124
1741552200,5.44928582839294,-0.38039229351062
1741552260,5.44944505778916,-0.380341013937783
1741552320,5.44960427867647,-0.380289726123515
1741552380,5.44976349105537,-0.380238430069721
1741552440,5.44992269492634,-0.3801871257783
1741552500,5.45008189028992,-0.380135813251158
1741552560,5.45024107714658,-0.380084492490197
1741552620,5.45040025549683,-0.380033163497318
1741552680,5.4505594253412,-0.379981826274423
1741552740,5.45071858668016,-0.379930480823418
1741552800,5.45087773951423,-0.379879127146201
1741552860,5.45103688384391,-0.379827765244675
1741552920,5.4511960196697,-0.379776395120744
1741552980,5.45135514699212,-0.379725016776307
1741553040,5.45151426581168,-0.379673630213267
1741553100,5.45167337612889,-0.379622235433524
1741553160,5.45183247794423,-0.379570832438982
1741553220,5.45199157125823,-0.379519421231539
1741553280,5.45215065607142,-0.3794680018131
1741553340,5.45230973238427,-0.379416574185562
1741553400,5.45246880019732,-0.379365138350828
1741553460,5.45262785951105,-0.379313694310798
1741553520,5.452786910326,-0.379262242067375
1741553580,5.45294595264269,-0.379210781622457
1741553640,5.45310498646161,-0.379159312977945
1741553700,5.45326401178327,-0.37910783613574
1741553760,5.45342302860822,-0.379056351097741
1741553820,5.45358203693694,-0.379004857865849
1741553880,5.45374103676995,-0.378953356441963
1741553940,5.45390002810778,-0.378901846827983
